animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.2,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.4285,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.6,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.8,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.9,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.2,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.4285,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.6,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.8,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,True,1,0.9,2,-1,0.6165749007151723,0.5872113676731794
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,False,1,0.2,2,-1,0.6399734380223782,0.5885736196319018
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,False,1,0.4285,1,-1,0.6367548497650903,0.591662603607996
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,False,1,0.6,2,-1,0.6379226003416286,0.5886366309845901
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,False,1,0.8,2,-1,0.6405581929647184,0.5906698564593301
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
AVP 3 L1,1I,2,129,False,1,0.9,1,-1,0.6283241411283803,0.585519801980198
